surveyid,year,cc,isocc,nc9,nc14,bills,eduage,polr,scc,caper,calfcar,caecar,canocar,caihome,calehome,caleapp,casup,caesequ,casolar,cacfood,cactravel,cared,cadis,caother,canone,pdconv,age
75.4,2011,2,BE,0,0,3,98,,3,2,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,18
75.4,2011,2,BE,1,1,3,21,,9,1,0,,1,0,0,1,0,,0,0,0,1,0,0,0,,43
75.4,2011,2,BE,0,0,3,20,,8,1,0,,0,1,0,0,0,,0,0,0,1,1,0,0,,76
75.4,2011,2,BE,0,0,3,99,,8,2,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,67
75.4,2011,2,BE,0,0,3,99,,10,2,0,,0,0,0,0,0,,0,1,0,0,0,0,0,,79
75.4,2011,2,BE,0,1,3,98,,6,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,17
75.4,2011,2,BE,0,0,3,99,,5,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,65
75.4,2011,2,BE,0,0,3,20,,8,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,51
75.4,2011,2,BE,1,2,3,19,,7,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,35
75.4,2011,2,BE,0,0,3,14,,6,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,81
75.4,2011,2,BE,0,0,3,18,,4,2,0,,0,0,0,0,1,,0,0,0,1,0,0,0,,41
75.4,2011,2,BE,0,0,3,98,,6,2,1,,0,0,0,0,0,,0,0,0,1,0,0,0,,19
75.4,2011,2,BE,0,2,3,21,,8,1,0,,0,1,0,0,0,,1,0,0,1,1,0,0,,44
75.4,2011,2,BE,0,0,3,14,,5,1,0,,1,0,0,0,0,,0,1,0,1,1,0,0,,64
75.4,2011,2,BE,2,0,3,19,,7,1,1,,1,0,0,0,0,,0,1,0,1,1,0,0,,32
75.4,2011,2,BE,0,0,3,22,,3,1,0,,1,1,0,1,0,,0,0,0,1,1,0,0,,26
75.4,2011,2,BE,2,0,2,18,,10,1,1,,0,0,0,0,0,,0,0,0,1,0,0,0,,44
75.4,2011,2,BE,0,0,3,20,,8,2,1,,1,1,0,1,0,,0,1,0,1,1,0,0,,73
75.4,2011,2,BE,1,1,2,19,,10,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,34
75.4,2011,2,BE,0,1,3,18,,4,1,1,,1,0,1,1,1,,0,1,0,1,1,0,0,,40
75.4,2011,2,BE,1,0,3,20,,9,2,1,,1,1,0,1,0,,0,0,0,1,1,0,0,,32
75.4,2011,2,BE,0,0,3,23,,5,1,0,,0,1,0,1,1,,1,0,0,1,1,0,0,,53
75.4,2011,2,BE,1,0,3,18,,6,2,0,,1,0,0,1,0,,0,1,0,1,0,0,0,,24
75.4,2011,2,BE,1,0,3,19,,6,2,0,,0,0,0,0,1,,1,0,0,1,1,0,0,,29
75.4,2011,2,BE,1,0,3,19,,6,1,0,,0,1,0,1,1,,1,1,0,1,0,0,0,,28
75.4,2011,2,BE,2,1,3,22,,7,1,0,,0,1,0,1,0,,0,1,0,1,1,0,0,,36
75.4,2011,2,BE,0,0,2,23,,5,2,0,,1,0,0,1,1,,0,0,0,1,1,0,0,,48
75.4,2011,2,BE,0,0,3,21,,7,2,0,,0,1,0,0,0,,0,0,0,1,0,0,0,,22
75.4,2011,2,BE,1,1,3,22,,5,2,1,,0,1,1,1,0,,0,1,0,1,0,0,0,,43
75.4,2011,2,BE,2,0,3,19,,8,2,1,,0,0,0,0,0,,0,0,0,1,0,0,0,,30
75.4,2011,2,BE,0,1,3,21,,4,2,1,,0,0,0,1,0,,0,0,0,1,0,0,0,,46
75.4,2011,2,BE,0,0,3,16,,8,1,0,,1,0,0,1,0,,0,1,0,1,1,0,0,,63
75.4,2011,2,BE,0,0,2,22,,5,1,0,,0,0,0,1,1,,0,1,0,1,1,0,0,,28
75.4,2011,2,BE,2,1,3,23,,8,1,0,,0,0,0,1,0,,1,1,0,1,1,1,0,,36
75.4,2011,2,BE,2,0,3,18,,7,2,0,,0,1,0,0,0,,0,0,0,1,0,0,0,,37
75.4,2011,2,BE,0,0,2,21,,8,1,0,,1,0,0,0,0,,1,0,0,1,1,0,0,,49
75.4,2011,2,BE,1,1,3,26,,3,2,0,,0,1,0,1,0,,0,0,0,1,0,0,0,,43
75.4,2011,2,BE,0,0,3,14,,7,2,0,,0,0,0,1,0,,0,0,0,1,1,0,0,,76
75.4,2011,2,BE,0,0,3,14,,8,1,0,,1,0,0,1,0,,0,0,0,1,0,0,0,,45
75.4,2011,2,BE,2,0,3,24,,9,1,0,,0,1,0,0,0,,1,0,0,1,0,0,0,,38
75.4,2011,2,BE,0,1,3,21,,8,1,0,,1,0,0,1,0,,0,0,0,1,0,0,0,,38
75.4,2011,2,BE,0,0,3,98,,8,2,0,,1,0,0,0,0,,0,0,0,1,0,0,0,,21
75.4,2011,2,BE,0,0,3,18,,8,1,1,,0,0,0,1,0,,0,0,1,1,1,1,0,,46
75.4,2011,2,BE,0,0,3,21,,7,1,0,,1,0,0,0,0,,0,1,0,1,1,0,0,,72
75.4,2011,2,BE,0,0,3,18,,10,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,58
75.4,2011,2,BE,0,0,3,16,,8,2,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,58
75.4,2011,2,BE,0,0,3,14,,8,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,83
75.4,2011,2,BE,0,0,3,99,,9,2,0,,1,0,0,1,0,,0,1,0,1,0,0,0,,61
75.4,2011,2,BE,0,0,3,99,,8,2,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,53
75.4,2011,2,BE,0,0,3,99,,4,1,1,,1,0,0,0,0,,0,1,0,1,1,0,0,,64
75.4,2011,2,BE,0,0,3,22,,7,2,1,,1,0,0,0,0,,0,0,0,1,0,0,0,,22
75.4,2011,2,BE,2,0,3,26,,8,2,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,26
75.4,2011,2,BE,0,0,3,99,,7,1,0,,0,1,0,1,0,,0,1,0,1,1,0,0,,58
75.4,2011,2,BE,0,0,3,99,,8,1,0,,1,0,0,1,0,,0,1,0,1,1,0,0,,51
75.4,2011,2,BE,2,0,3,99,,7,1,1,,0,1,0,0,0,,1,0,1,1,1,0,0,,36
75.4,2011,2,BE,0,0,3,14,,8,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,82
75.4,2011,2,BE,0,0,3,17,,5,2,1,,0,1,0,1,0,,0,1,0,1,0,0,0,,69
75.4,2011,2,BE,0,0,3,20,,8,1,0,,0,0,1,0,0,,0,1,0,1,0,0,0,,53
75.4,2011,2,BE,0,1,3,98,,7,1,1,,0,0,0,1,0,,0,0,0,1,0,0,0,,19
75.4,2011,2,BE,1,0,3,99,,6,1,0,,0,0,1,0,0,,1,0,0,1,0,0,0,,44
75.4,2011,2,BE,0,0,3,14,,7,1,0,,0,0,1,0,0,,0,0,0,1,0,0,0,,83
75.4,2011,2,BE,0,1,3,17,,7,1,0,,0,0,1,0,1,,0,0,0,1,0,0,0,,45
75.4,2011,2,BE,0,0,3,14,,7,1,0,,0,0,1,0,0,,0,0,0,1,0,0,0,,61
75.4,2011,2,BE,0,0,3,22,,8,1,0,,0,1,0,1,0,,0,0,0,1,0,0,0,,30
75.4,2011,2,BE,2,0,3,21,,7,1,1,,0,0,1,0,0,,0,0,0,1,0,0,0,,34
75.4,2011,2,BE,0,0,3,21,,8,1,0,,0,0,0,0,0,,1,0,0,1,0,0,0,,48
75.4,2011,2,BE,0,0,3,18,,8,1,0,,0,1,0,0,0,,1,0,0,1,0,0,0,,79
75.4,2011,2,BE,0,0,3,14,,8,1,0,,0,0,1,0,0,,0,0,0,1,0,0,0,,73
75.4,2011,2,BE,0,0,3,20,,7,1,0,,0,1,0,0,0,,1,0,0,1,0,0,0,,66
75.4,2011,2,BE,3,0,3,24,,7,1,1,,1,0,0,0,0,,1,0,0,1,0,0,0,,35
75.4,2011,2,BE,1,0,3,21,,6,1,0,,0,0,0,0,1,,0,0,0,1,0,0,0,,30
75.4,2011,2,BE,0,0,3,21,,8,1,1,,0,0,1,0,0,,0,0,0,1,0,0,0,,61
75.4,2011,2,BE,0,0,3,14,,10,1,0,,1,1,0,0,0,,0,1,1,1,1,0,0,,65
75.4,2011,2,BE,0,0,3,16,,9,1,0,,1,0,0,1,0,,0,1,0,1,1,0,0,,61
75.4,2011,2,BE,0,0,3,21,,8,2,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,47
75.4,2011,2,BE,0,0,3,18,,7,2,0,,1,1,0,1,0,,0,0,0,1,1,0,0,,68
75.4,2011,2,BE,0,0,3,16,,5,1,0,,1,0,0,1,0,,0,1,0,1,1,0,0,,49
75.4,2011,2,BE,0,0,3,20,,10,1,1,,1,0,0,1,0,,0,1,1,1,1,0,0,,45
75.4,2011,2,BE,0,0,3,22,,5,2,1,,1,1,0,1,0,,0,1,0,1,1,0,0,,59
75.4,2011,2,BE,0,0,3,21,,7,1,0,,1,1,0,1,0,,0,1,0,1,1,0,0,,48
75.4,2011,2,BE,0,0,3,23,,4,2,0,,0,0,0,0,0,,0,1,1,1,0,0,0,,56
75.4,2011,2,BE,0,0,2,16,,5,1,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,74
75.4,2011,2,BE,0,0,3,15,,7,1,0,,0,0,0,1,0,,0,0,0,1,1,0,0,,53
75.4,2011,2,BE,2,0,3,21,,9,1,0,,1,1,0,1,0,,0,1,0,1,1,0,0,,34
75.4,2011,2,BE,2,0,2,18,,9,1,1,,0,0,1,1,1,,0,1,1,1,1,0,0,,30
75.4,2011,2,BE,1,0,2,21,,10,1,0,,0,0,0,1,1,,0,1,0,1,1,0,0,,33
75.4,2011,2,BE,0,0,3,14,,6,1,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,73
75.4,2011,2,BE,0,0,3,18,,7,1,1,,1,1,0,1,0,,0,1,0,1,1,0,0,,29
75.4,2011,2,BE,0,0,3,16,,5,2,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,66
75.4,2011,2,BE,0,0,3,18,,8,2,1,,0,0,0,1,0,,0,1,0,1,1,0,0,,58
75.4,2011,2,BE,2,0,3,21,,7,1,0,,1,1,1,1,0,,0,0,0,1,1,0,0,,28
75.4,2011,2,BE,0,0,3,18,,5,1,0,,1,0,0,1,0,,0,0,0,1,1,0,0,,43
75.4,2011,2,BE,0,0,3,17,,7,1,0,,1,0,0,1,0,,0,0,0,1,1,0,0,,53
75.4,2011,2,BE,0,0,3,12,,4,1,0,,0,0,0,0,0,,1,1,0,1,1,0,0,,64
75.4,2011,2,BE,0,0,3,14,,5,1,1,,0,1,0,0,0,,0,0,0,1,1,0,0,,55
75.4,2011,2,BE,0,0,3,18,,6,1,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,66
75.4,2011,2,BE,0,0,3,22,,8,2,0,,0,1,0,1,0,,0,1,0,1,1,0,0,,49
75.4,2011,2,BE,0,0,3,23,,4,2,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,24
75.4,2011,2,BE,0,0,3,20,,8,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,31
75.4,2011,2,BE,0,0,3,14,,7,1,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,78
75.4,2011,2,BE,0,0,3,14,,5,2,1,,1,0,0,0,0,,0,0,0,0,0,0,0,,56
75.4,2011,2,BE,0,0,3,24,,7,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,73
75.4,2011,2,BE,1,0,3,23,,8,1,1,,1,0,0,0,0,,0,0,0,1,1,0,0,,43
75.4,2011,2,BE,1,1,3,18,,7,1,1,,1,1,0,1,0,,0,0,0,1,0,0,0,,47
75.4,2011,2,BE,0,0,1,14,,8,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,43
75.4,2011,2,BE,0,0,2,20,,8,1,0,,1,0,0,0,0,,0,0,0,0,0,0,0,,26
75.4,2011,2,BE,0,0,3,21,,8,1,0,,1,0,0,1,0,,0,0,0,0,0,0,0,,67
75.4,2011,2,BE,0,0,3,14,,8,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,61
75.4,2011,2,BE,1,0,2,18,,8,2,0,,1,0,0,0,0,,0,0,0,1,0,0,0,,38
75.4,2011,2,BE,0,0,3,19,,8,3,0,,0,0,0,1,0,,0,1,0,1,0,0,0,,60
75.4,2011,2,BE,0,0,3,18,,4,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,22
75.4,2011,2,BE,0,0,3,18,,7,2,0,,0,0,0,0,0,,0,0,0,0,1,0,0,,38
75.4,2011,2,BE,0,0,3,16,,4,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,58
75.4,2011,2,BE,0,0,3,16,,7,2,0,,0,0,0,0,0,,0,1,0,0,1,0,0,,73
75.4,2011,2,BE,0,0,3,18,,7,1,1,,0,0,0,1,0,,1,0,0,1,1,0,0,,39
75.4,2011,2,BE,0,0,3,18,,6,1,0,,0,1,0,1,0,,1,0,0,0,0,0,0,,54
75.4,2011,2,BE,1,0,3,19,,6,2,0,,0,1,0,0,0,,0,1,0,0,1,0,0,,25
75.4,2011,2,BE,0,0,3,14,,10,2,0,,0,1,0,1,0,,0,1,0,1,0,0,0,,69
75.4,2011,2,BE,0,0,3,14,,10,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,78
75.4,2011,2,BE,1,1,3,18,,7,1,0,,0,0,0,0,0,,0,0,0,0,0,1,0,,44
75.4,2011,2,BE,0,0,3,20,,7,1,1,,0,1,0,0,0,,0,0,0,0,0,1,0,,46
75.4,2011,2,BE,0,0,3,21,,5,1,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,57
75.4,2011,2,BE,0,0,3,16,,8,1,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,76
75.4,2011,2,BE,0,0,3,16,,6,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,56
75.4,2011,2,BE,0,0,3,14,,7,1,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,63
75.4,2011,2,BE,1,0,2,18,,8,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,49
75.4,2011,2,BE,1,1,3,22,,8,1,1,,1,1,1,1,0,,0,1,0,1,1,0,0,,44
75.4,2011,2,BE,0,1,3,25,,7,1,1,,0,1,0,1,0,,0,0,0,1,1,0,0,,45
75.4,2011,2,BE,0,0,3,20,,7,1,0,,0,1,0,0,0,,0,1,0,1,1,0,0,,82
75.4,2011,2,BE,0,0,3,16,,5,1,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,43
75.4,2011,2,BE,0,0,3,15,,10,1,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,80
75.4,2011,2,BE,0,0,3,14,,10,2,0,,0,1,0,0,0,,0,0,0,0,0,0,0,,93
75.4,2011,2,BE,0,0,3,18,,9,1,0,,0,0,1,0,0,,0,0,0,0,0,0,0,,88
75.4,2011,2,BE,0,0,3,14,,8,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,54
75.4,2011,2,BE,1,0,3,21,,7,1,1,,0,0,0,0,0,,0,1,0,1,0,0,0,,28
75.4,2011,2,BE,0,0,3,16,,9,2,0,,0,1,0,0,0,,0,1,0,1,0,0,0,,74
75.4,2011,2,BE,0,0,3,15,,7,2,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,51
75.4,2011,2,BE,0,0,3,98,,7,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,18
75.4,2011,2,BE,0,0,3,14,,6,1,0,,0,1,0,0,0,,0,0,0,1,1,0,0,,69
75.4,2011,2,BE,1,0,3,21,,6,1,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,32
75.4,2011,2,BE,0,0,3,19,,3,1,0,,1,0,0,0,0,,0,0,0,1,1,0,0,,43
75.4,2011,2,BE,3,1,3,22,,10,1,1,,1,1,0,1,0,,0,1,0,1,1,0,0,,37
75.4,2011,2,BE,0,0,3,18,,7,1,1,,0,0,0,1,1,,0,0,0,1,1,0,0,,66
75.4,2011,2,BE,0,0,3,14,,6,2,0,,0,0,0,1,0,,0,1,0,1,0,0,0,,90
75.4,2011,2,BE,0,0,3,21,,6,1,1,,1,1,0,1,0,,0,1,0,0,1,0,0,,62
75.4,2011,2,BE,0,0,3,19,,8,1,0,,0,1,0,1,0,,1,0,0,1,0,0,0,,70
75.4,2011,2,BE,0,0,3,22,,6,2,0,,0,1,0,1,0,,0,1,0,1,1,0,0,,61
75.4,2011,2,BE,0,0,3,22,,6,2,0,,0,0,0,0,0,,0,1,0,1,0,0,0,,23
75.4,2011,2,BE,0,0,3,20,,7,1,0,,1,0,0,1,1,,0,0,0,1,0,0,0,,58
75.4,2011,2,BE,0,0,3,14,,5,2,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,81
75.4,2011,2,BE,1,2,3,23,,8,2,0,,1,1,0,1,1,,0,1,0,1,1,0,0,,43
75.4,2011,2,BE,1,1,3,23,,7,2,1,,0,0,0,1,0,,0,0,0,1,1,0,0,,41
75.4,2011,2,BE,0,0,3,14,,8,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,65
75.4,2011,2,BE,0,0,3,14,,7,1,0,,1,1,0,1,0,,0,1,0,1,1,0,0,,69
75.4,2011,2,BE,0,0,3,20,,9,2,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,33
75.4,2011,2,BE,1,1,3,22,,8,1,0,,1,0,1,1,0,,0,1,0,1,1,0,0,,40
75.4,2011,2,BE,0,1,3,21,,8,1,1,,1,0,0,1,0,,0,1,0,1,1,0,0,,46
75.4,2011,2,BE,0,0,3,18,,5,2,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,73
75.4,2011,2,BE,0,0,3,14,,8,2,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,74
75.4,2011,2,BE,0,0,3,14,,11,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,78
75.4,2011,2,BE,0,0,3,24,,6,2,1,,0,1,0,1,0,,0,1,0,1,0,0,0,,25
75.4,2011,2,BE,0,0,1,17,,5,2,0,,0,0,0,1,0,,0,0,0,1,1,0,0,,53
75.4,2011,2,BE,0,0,3,32,,6,2,0,,0,0,0,0,0,,0,1,0,1,0,0,0,,51
75.4,2011,2,BE,0,0,3,17,,9,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,80
75.4,2011,2,BE,0,0,3,17,,9,2,0,,0,0,0,1,1,,0,1,0,1,1,1,0,,46
75.4,2011,2,BE,1,1,2,18,,10,1,0,,1,0,0,0,0,,0,1,0,1,1,1,0,,31
75.4,2011,2,BE,0,0,3,14,,6,2,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,76
75.4,2011,2,BE,0,0,3,18,,6,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,19
75.4,2011,2,BE,0,0,3,15,,6,2,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,69
75.4,2011,2,BE,0,0,3,16,,5,2,0,,0,1,0,1,0,,0,1,0,1,0,0,0,,76
75.4,2011,2,BE,0,0,3,17,,6,1,0,,0,1,0,1,0,,0,1,0,1,1,0,0,,53
75.4,2011,2,BE,2,0,3,18,,8,1,0,,0,0,1,1,0,,0,0,0,1,0,0,0,,38
75.4,2011,2,BE,0,0,3,14,,7,2,0,,1,0,0,0,0,,0,1,0,1,0,0,0,,81
75.4,2011,2,BE,0,1,3,15,,6,2,0,,1,0,0,1,0,,0,1,0,1,0,0,0,,55
75.4,2011,2,BE,0,0,3,99,,7,2,0,,1,0,0,1,0,,0,1,0,0,0,0,0,,67
75.4,2011,2,BE,0,0,3,15,,8,2,0,,0,0,0,0,0,,0,1,0,1,0,0,0,,63
75.4,2011,2,BE,0,0,3,18,,8,2,0,,0,0,0,1,0,,0,1,0,0,1,0,0,,50
75.4,2011,2,BE,0,0,3,22,,7,2,0,,1,0,0,1,0,,1,0,0,0,0,0,0,,23
75.4,2011,2,BE,0,0,2,98,,8,2,0,,1,0,1,0,0,,1,0,0,0,0,0,0,,17
75.4,2011,2,BE,0,0,3,99,,8,1,0,,1,0,0,1,0,,1,0,0,1,0,0,0,,56
75.4,2011,2,BE,0,0,2,27,,8,2,0,,1,0,1,0,0,,0,1,0,0,0,0,0,,27
75.4,2011,2,BE,0,0,2,34,,8,1,0,,1,0,0,1,0,,0,0,1,0,0,0,0,,34
75.4,2011,2,BE,0,0,3,33,,7,2,0,,1,1,0,0,1,,0,0,0,0,0,0,0,,33
75.4,2011,2,BE,0,0,2,35,,8,2,0,,0,1,0,0,1,,0,0,1,0,0,0,0,,35
75.4,2011,2,BE,0,0,3,23,,4,2,0,,0,1,0,0,1,,0,1,0,0,0,0,0,,23
75.4,2011,2,BE,0,0,2,18,,7,2,0,,0,0,0,1,0,,0,1,0,1,0,0,0,,21
75.4,2011,2,BE,0,0,3,18,,7,1,0,,1,0,1,0,0,,0,0,1,0,0,0,0,,35
75.4,2011,2,BE,1,0,3,18,,3,2,0,,1,0,1,0,0,,1,0,0,0,0,0,0,,32
75.4,2011,2,BE,0,0,3,15,,4,1,0,,0,0,0,0,0,,0,0,1,0,1,0,0,,57
75.4,2011,2,BE,0,0,3,98,,8,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,15
75.4,2011,2,BE,0,0,3,15,,7,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,67
75.4,2011,2,BE,0,0,2,18,,7,1,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,19
75.4,2011,2,BE,0,0,3,18,,7,2,0,,0,0,0,1,0,,0,1,0,0,0,0,0,,23
75.4,2011,2,BE,0,0,3,18,,3,2,0,,0,0,1,0,0,,0,0,1,0,0,0,0,,23
75.4,2011,2,BE,0,0,3,17,,4,1,0,,1,0,1,0,0,,1,0,0,0,0,0,0,,35
75.4,2011,2,BE,0,2,2,16,,7,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,38
75.4,2011,2,BE,0,0,3,18,,4,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,29
75.4,2011,2,BE,1,0,3,18,,6,1,0,,0,0,0,0,1,,0,0,0,1,1,0,0,,31
75.4,2011,2,BE,0,0,2,14,,8,1,0,,1,0,1,0,0,,0,1,0,0,0,0,0,,82
75.4,2011,2,BE,0,0,2,15,,7,1,0,,0,0,1,0,1,,0,1,0,0,1,0,0,,69
75.4,2011,2,BE,0,0,3,98,,7,1,0,,1,0,1,0,0,,0,1,0,0,0,0,0,,23
75.4,2011,2,BE,0,0,3,19,,7,1,0,,1,0,0,1,0,,0,1,0,0,0,0,0,,21
75.4,2011,2,BE,0,0,3,18,,8,2,0,,1,0,1,0,0,,1,0,0,0,0,0,0,,19
75.4,2011,2,BE,0,0,3,18,,8,1,0,,1,0,1,0,0,,0,1,0,0,0,0,0,,58
75.4,2011,2,BE,0,0,1,21,,4,1,0,,0,0,0,0,0,,0,0,1,1,1,0,0,,26
75.4,2011,2,BE,0,0,3,16,,6,2,0,,1,0,0,0,0,,0,1,0,0,1,0,0,,41
75.4,2011,2,BE,0,1,2,16,,7,2,0,,0,0,0,0,0,,0,0,1,1,0,0,0,,43
75.4,2011,2,BE,0,0,7,15,,3,2,0,,0,0,0,0,0,,0,0,1,1,1,0,0,,75
75.4,2011,2,BE,0,0,3,15,,6,2,0,,0,0,0,0,0,,0,0,0,0,1,0,0,,49
75.4,2011,2,BE,0,0,2,15,,7,1,0,,0,1,0,0,1,,0,0,1,0,0,0,0,,58
75.4,2011,2,BE,0,0,3,15,,7,2,0,,0,1,0,0,1,,0,0,1,0,0,0,0,,66
75.4,2011,2,BE,2,0,3,21,,7,1,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,34
75.4,2011,2,BE,0,0,3,18,,8,2,0,,0,0,0,0,0,,0,0,0,0,1,0,0,,24
75.4,2011,2,BE,0,0,3,18,,7,1,0,,0,1,0,1,0,,0,1,0,1,1,0,0,,65
75.4,2011,2,BE,0,1,3,21,,7,1,1,,1,1,0,1,0,,0,1,1,1,1,0,0,,48
75.4,2011,2,BE,0,0,3,21,,7,1,0,,1,1,0,1,0,,0,1,1,1,1,0,0,,54
75.4,2011,2,BE,0,0,3,18,,6,1,0,,0,1,0,1,0,,0,1,1,1,1,0,0,,89
75.4,2011,2,BE,0,0,2,18,,7,1,1,,1,0,0,1,0,,0,1,1,1,1,0,0,,45
75.4,2011,2,BE,0,0,3,18,,6,1,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,34
75.4,2011,2,BE,0,0,3,20,,7,1,0,,1,0,0,1,0,,0,1,1,1,1,0,0,,49
75.4,2011,2,BE,0,0,2,14,,9,1,0,,1,0,0,1,0,,0,1,1,1,1,0,0,,79
75.4,2011,2,BE,0,0,2,98,,7,2,0,,0,0,0,0,0,,0,0,0,1,1,0,0,,20
75.4,2011,2,BE,0,0,3,25,,7,1,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,77
75.4,2011,2,BE,2,0,3,22,,7,1,1,,1,1,0,1,0,,1,1,1,1,1,0,0,,34
75.4,2011,2,BE,0,0,3,16,,5,1,0,,1,1,0,1,0,,0,1,0,1,1,0,0,,77
75.4,2011,2,BE,0,0,3,31,,5,1,0,,0,1,0,0,0,,0,0,0,1,1,0,0,,77
75.4,2011,2,BE,2,0,3,23,,5,1,1,,0,0,1,1,0,,0,0,0,1,1,0,0,,46
75.4,2011,2,BE,0,0,3,98,,9,2,0,,1,1,0,0,0,,0,0,0,0,0,0,0,,17
75.4,2011,2,BE,0,0,3,22,,2,1,0,,0,0,0,1,1,,0,1,0,1,1,0,0,,55
75.4,2011,2,BE,0,0,3,24,,5,2,0,,0,0,0,0,0,,0,1,0,1,0,0,0,,62
75.4,2011,2,BE,0,0,3,99,,8,1,0,,1,0,0,0,0,,0,1,0,1,1,0,0,,86
75.4,2011,2,BE,0,0,3,19,,10,1,0,,0,0,0,0,0,,0,0,0,0,1,0,0,,64
75.4,2011,2,BE,0,0,3,98,,9,2,0,,1,1,0,0,0,,1,0,0,1,0,0,0,,18
75.4,2011,2,BE,0,0,3,22,,7,1,0,,1,0,1,0,0,,1,0,0,1,0,0,0,,29
75.4,2011,2,BE,1,0,2,20,,7,1,0,,1,0,0,1,0,,0,1,0,1,1,0,0,,26
75.4,2011,2,BE,0,0,3,23,,8,2,1,,1,0,0,0,1,,0,1,0,1,1,0,0,,32
75.4,2011,2,BE,0,0,2,20,,7,2,1,,0,0,0,0,0,,0,0,0,0,0,0,0,,54
75.4,2011,2,BE,0,0,3,16,,7,2,1,,0,1,0,1,0,,0,1,0,1,1,0,0,,59
75.4,2011,2,BE,0,0,1,17,,5,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,68
75.4,2011,2,BE,0,0,3,14,,5,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,,67
75.4,2011,2,BE,0,0,2,16,,9,2,0,,0,1,0,0,0,,0,0,0,1,0,0,0,,57
75.4,2011,2,BE,0,0,2,21,,8,2,0,,0,0,0,0,0,,0,0,0,1,0,0,0,,75
75.4,2011,2,BE,0,1,3,21,,10,1,0,,0,0,0,1,1,,0,1,1,1,1,0,0,,36
75.4,2011,2,BE,0,0,3,22,,8,1,1,,0,0,0,1,1,,1,1,1,1,1,0,0,,24
75.4,2011,2,BE,0,0,2,16,,10,1,0,,0,0,0,1,0,,0,1,1,1,1,0,0,,65
75.4,2011,2,BE,0,0,2,14,,8,1,0,,0,0,0,1,0,,0,1,0,1,1,0,0,,72
75.4,2011,2,BE,0,0,3,18,,10,1,0,,0,1,0,1,1,,0,1,0,1,1,0,0,,64
75.4,2011,2,BE,0,0,2,16,,10,1,0,,0,0,0,0,0,,0,1,0,1,1,0,0,,59
